ก	กอ
ก.	กอ
ก.ค.	กอ- คอ
ก.ท.ม.	กอ- ทอ- มอ
ก.พ.	กอ- พอ
ก.ย.	กอ- ยอ
กกต.	กอ- กอ- ตอ
กกุท	กะ- กุด
กกุธภัณฑ์	กะ- กุด- ทะ- พัน
กขค.	กอ- ขอ- คอ
กงกาง	กง- กาง
กงการ	กง- กาน
กงล้อ	กง- ล้อ
กงศุล	กง- สุน
กงสี	กง- สี
กงสุล	กง- สุน
กงเวียน	กง- เวียน
กฎ	กด
กฎข้อบังคับ	กด- ค่อ- บัง- คับ
กฎจราจร	กด- จะ- รา- จอน
กฎบัตร	กด- บัด
กฎมนเทียรบาล	กด- มน- เทียน- บาน
กฎหมาย	กด- หฺมาย
กฎหมายปกครอง	กด- หฺมาย- ปก- คฺรอง
กฎหมายมนุษยธรรมระหว่างประเทศ	กด- หฺมาย- มะ- นุด- สะ- ยะ- ทำ- ระ- หฺว่าง- ปฺระ- เทด
กฎหมายมหาชน	กด- หฺมาย- มะ- หา- ชน
กฎหมายระหว่างประเทศ	กด- หฺมาย- ระ- หฺว่าง- ปฺระ- เทด
กฎหมายระหว่างประเทศแผนกคดีบุคคล	กด- หฺมาย- ระ- หฺว่าง- ปฺระ- เทด- ผะ- แหฺนก- คะ- ดี- บุก- คน
กฎหมายระหว่างประเทศแผนกคดีเมือง	กด- หฺมาย- ระ- หฺว่าง- ปฺระ- เทด- ผะ- แหฺนก- คะ- ดี- เมือง
กฎหมายรัฐธรรมนูญ	กด- หฺมาย- รัด- ถะ- ทำ- มะ- นูน
กฎหมายเหตุ	กด- หฺมาย- เหด
กฎหมายเอกชน	กด- หฺมาย- เอก- กะ- ชน
กฎเกณฑ์	กด- เกน
กฏ	กด
กฐิน	กะ- ถิน
กฐิน	กะ- ถิน- 
กฐิน	กะ- ถิน- นะ- 
กดขี่	กด- ขี่
กดดัน	กด- ดัน
กตัญญู	กะ- ตัน- ยู
กติกา	กะ- ติ- กา
กติกาสัญญา	กะ- ติ- กา- สัน- ยา
กตเวที	กะ- ตะ- เว- ที
กถา	กะ- ถา
กทม.	กอ- ทอ- มอ
กนก	กะ- หฺนก
กบ	กอ- บอ
กบฏ	กะ- บด
กบนา	กบ- นา
กบเลือกนาย	กบ- เลือก- นาย
กบเหลา	กบ- เหฺลา
กบเหลาดินสอ	กบ- เหฺลา- ดิน- สอ
