ABCDEFGHIJKLMNOPQRSTUVWXYZ	A B C D E F G H I J K L M N O P Q R S T U V W X Y Z
abcdefghjiklmnopqrstuvwxyz	a b c d e f g h j i k l m n o p q r s t u v w x y z 	 
-	-
\	\
/	/
.	.
:	:
,	,
?	?
!	!
@	@
$	$
%	%
^	^
*	*
#	#
[	[
]	]
(	(
)	)
กิว	กิว
เก็ว	เก็ว
เกว	เกว
แก็ว	แก็ว
แกว	แกว
โกว	โกว
เกียว	เกียว
กุย	กุย
โกย	โกย
กอย	กอย
เกย	เกย
เกือย	เกือย
กวย	กวย
กัว	กัว
กว	กว
ไกย	ไก
ใก	ไก
ไก	ไก
กัย	กัย
กาย	กาย
เกา	เกา
กาว	กาว
เกือะ	เกือะ
เกียะ	เกียะ
กัวะ	กัวะ
กะ	กะ
กือ	กือ
เกะ	เกะ
เกอ	เกอ
โกะ	โกะ
เกอะ	เกอะ
เกาะ	เกาะ
แกะ	แกะ
กรร	กัน
กำ	กัม
กา	กา
กิ	กิ
กี	กี
กึ	กึ
กื	กื
กุ	กุ
กู	กู
เก	เก
แก	แก
โก	โก
ก็อ	ก็อ
กอ	กอ
เกีย	เกีย
เกือ	เกือ
กัค	กัก
เก็ค	เก็ก
แก็ค	แก็ก
กรรค	กัก
เก็อค	เก็อก
เกิ็ค	เกิ็ก
เกิค	เกิก
กาค	กาก
กิค	กิก
กีค	กีก
กึค	กึก
กืค	กืก
กุค	กุก
กูค	กูก
เกค	เกก
แกค	แกก
โกค	โกก
ก็อค	ก็อก
กอค	กอก
เกียค	เกียก
เกือค	เกือก
กัก	กัก
เก็ก	เก็ก
แก็ก	แก็ก
กรรก	กัก
เก็อก	เก็อก
เกิ็ก	เกิ็ก
เกิก	เกิก
กาก	กาก
กิก	กิก
กีก	กีก
กึก	กึก
กืก	กืก
กุก	กุก
กูก	กูก
เกก	เกก
แกก	แกก
โกก	โกก
ก็อก	ก็อก
กอก	กอก
เกียก	เกียก
เกือก	เกือก
กัข	กัก
เก็ข	เก็ก
แก็ข	แก็ก
กรรข	กัก
เก็อข	เก็อก
เกิ็ข	เกิ็ก
เกิข	เกิก
กาข	กาก
กิข	กิก
กีข	กีก
กึข	กึก
กืข	กืก
กุข	กุก
กูข	กูก
เกข	เกก
แกข	แกก
โกข	โกก
ก็อข	ก็อก
กอข	กอก
เกียข	เกียก
เกือข	เกือก
กัพ	กับ
เก็พ	เก็บ
แก็พ	แก็บ
กรรพ	กับ
เก็อพ	เก็อบ
เกิ็พ	เกิ็บ
เกิพ	เกิบ
กาพ	กาบ
กิพ	กิบ
กีพ	กีบ
กึพ	กึบ
กืพ	กืบ
กุพ	กุบ
กูพ	กูบ
เกพ	เกบ
แกพ	แกบ
โกพ	โกบ
ก็อพ	ก็อบ
กอพ	กอบ
เกียพ	เกียบ
เกือพ	เกือบ
กัภ	กับ
เก็ภ	เก็บ
แก็ภ	แก็บ
กรรภ	กับ
เก็อภ	เก็อบ
เกิ็ภ	เกิ็บ
เกิภ	เกิบ
กาภ	กาบ
กิภ	กิบ
กีภ	กีบ
กึภ	กึบ
กืภ	กืบ
กุภ	กุบ
กูภ	กูบ
เกภ	เกบ
แกภ	แกบ
โกภ	โกบ
ก็อภ	ก็อบ
กอภ	กอบ
เกียภ	เกียบ
เกือภ	เกือบ
กับ	กับ
เก็บ	เก็บ
แก็บ	แก็บ
กรรบ	กับ
เก็อบ	เก็อบ
เกิ็บ	เกิ็บ
เกิบ	เกิบ
กาบ	กาบ
กิบ	กิบ
กีบ	กีบ
กึบ	กึบ
กืบ	กืบ
กุบ	กุบ
กูบ	กูบ
เกบ	เกบ
แกบ	แกบ
โกบ	โกบ
ก็อบ	ก็อบ
กอบ	กอบ
เกียบ	เกียบ
เกือบ	เกือบ
กัป	กับ
เก็ป	เก็บ
แก็ป	แก็บ
กรรป	กับ
เก็อป	เก็อบ
เกิ็ป	เกิ็บ
เกิป	เกิบ
กาป	กาบ
กิป	กิบ
กีป	กีบ
กึป	กึบ
กืป	กืบ
กุป	กุบ
กูป	กูบ
เกป	เกบ
แกป	แกบ
โกป	โกบ
ก็อป	ก็อบ
กอป	กอบ
เกียป	เกียบ
เกือป	เกือบ
กัท	กัด
เก็ท	เก็ด
แก็ท	แก็ด
กรรท	กัด
เก็อท	เก็อด
เกิ็ท	เกิ็ด
เกิท	เกิด
กาท	กาด
กิท	กิด
กีท	กีด
กึท	กึด
กืท	กืด
กุท	กุด
กูท	กูด
เกท	เกด
แกท	แกด
โกท	โกด
ก็อท	ก็อด
กอท	กอด
เกียท	เกียด
เกือท	เกือด
กัธ	กัด
